pop_idx,regime,rho,beta,N,T,sigma,jaccard,beta,alpha,epsilon,nr_pop,nr_ind
,partial,0.0,0.8,200.0,20.0,0.25,0.0331818181818204,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.030353535353537225,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.019373737373737925,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.034131313131315774,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.028343434343435954,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.018626262626263063,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.02089898989899054,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.023949494949496053,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.024242424242425186,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.02552525252525361,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.02143434343434416,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.028727272727274378,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.026181818181819444,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.02962626262626443,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.02507070707070823,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.022353535353536205,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.027828282828284374,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.02628282828282953,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.02824242424242587,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.024707070707071795,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.02836363636363798,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.026212121212122453,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.022868686868687694,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.036373737373740035,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.027636363636365045,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.035515151515154136,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.020262626262626843,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.03641414141414415,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.026989898989900344,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.033090909090911454,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.029131313131314816,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.03431313131313382,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.026838383838385084,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.02462626262626373,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.020272727272727893,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.030909090909092926,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.026383838383839658,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.024040404040405024,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.03677777777778057,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.02610101010101139,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.03180808080808283,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.024060606060607094,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.019535353535354072,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.025959595959597223,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.02205050505050585,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.02217171717171803,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.021707070707071476,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.021333333333334085,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.021080808080808783,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.021080808080808793,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.019262626262626707,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.029868686868688658,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.03253535353535588,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.02260606060606159,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.024181818181819196,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.024555555555556594,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.024404040404041635,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.03084848484848678,0.8,0.0,100,,
